央卫频道,#genre#
CCTV1,http://202.168.168.50:5000/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$广东广州广电9
CCTV1,http://111.23.208.105:9908/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南娄底移动1
CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$四川乐山电信2
CCTV1,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动3
CCTV1,http://183.57.249.112:8183/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信4
CCTV1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信5
CCTV1,http://113.90.247.164:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信6
CCTV1,http://183.10.180.157:212/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信7
CCTV1,http://171.83.100.55:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信10
CCTV1,http://171.83.98.13:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北武汉电信11
CCTV1,http://171.43.65.249:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北十堰电信12
CCTV1,http://122.227.166.86:1185/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$浙江宁波电信13
CCTV1,http://118.248.170.104:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南邵阳电信15
CCTV2,http://202.168.168.50:5000/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广东广州广电9
CCTV2,http://111.23.208.105:9908/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南娄底移动1
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$四川乐山电信2
CCTV2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1$辽宁阜新移动3
CCTV2,http://183.57.249.112:8183/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信4
